occupation_code	occupation_text	display_level	selectable	sort_sequence
25108X	Education and library science teachers, postsecondary	3	T	394
251123	English language and literature teachers, postsecondary	4	T	404
25112X	Arts, communications, history, and humanities teachers, postsecondary	3	T	401
251193	Recreation and fitness studies teachers, postsecondary	4	T	411
251194	Career/technical education teachers, postsecondary	4	T	412
25119X	Miscellaneous postsecondary teachers	3	T	408
251XXX	Postsecondary teachers	2	T	365
252021	Elementary school teachers, except special education	4	T	418
252022	Middle school teachers, except special and career/technical education	4	T	419
25202X	Elementary and middle school teachers	3	T	417
252031	Secondary school teachers, except special and career/technical education	4	T	422
252032	Career/technical education teachers, secondary school	4	T	423
25203X	Secondary school teachers	3	T	421
252051	Special education teachers, preschool	4	T	425
252052	Special education teachers, kindergarten and elementary school	4	T	426
252054	Special education teachers, secondary school	4	T	428
25205X	Special education teachers	3	T	424
252XXX	Preschool, elementary, middle, secondary, and special education teachers	2	T	413
253021	Self-enrichment teachers	4	T	437
25302X	Self-enrichment teachers	3	T	436
25309X	Miscellaneous teachers and instructors	3	T	442
253XXX	Other teachers and instructors	2	T	433
254021	Librarians	4	T	449
254022	Librarians and media collections specialists	4	T	450
25402X	Librarians and media collections specialists	3	T	448
254031	Library technicians	4	T	452
25403X	Library technicians	3	T	451
254XXX	Librarians, curators, and archivists	2	T	443
259021	Farm and home management educators	4	T	457
25902X	Farm and home management educators	3	T	456
259041	Teacher assistants	4	T	461
259042	Teaching assistants, preschool, elementary, middle, and secondary school, except special education	4	T	462
25904X	Teaching assistants	3	T	460
259XXX	Other educational instruction and library occupations	2	T	453
25XXXX	Educational instruction and library occupations	1	T	364
271012	Craft artists	4	T	470
271013	Fine artists, including painters, sculptors, and illustrators	4	T	471
27101X	Artists and related workers	3	T	468
271021	Commercial and industrial designers	4	T	474
271023	Floral designers	4	T	476
271024	Graphic designers	4	T	477
271025	Interior designers	4	T	478
271026	Merchandise displayers and window trimmers	4	T	479
27102X	Designers	3	T	473
271XXX	Art and design workers	2	T	467
272011	Actors	4	T	483
272012	Producers and directors	4	T	484
27201X	Actors, producers, and directors	3	T	482
272021	Athletes and sports competitors	4	T	486
272022	Coaches and scouts	4	T	487
272023	Umpires, referees, and other sports officials	4	T	488
27202X	Athletes, coaches, umpires, and related workers	3	T	485
272031	Dancers	4	T	490
27203X	Dancers and choreographers	3	T	489
272041	Music directors and composers	4	T	493
272042	Musicians and singers	4	T	494
27204X	Musicians, singers, and related workers	3	T	492
27209X	Miscellaneous entertainers and performers, sports and related workers	3	T	495
272XXX	Entertainers and performers, sports and related workers	2	T	481
273011	Broadcast announcers and radio disc jockeys	4	T	499
273012	Public address system and other announcers	4	T	500
27301X	Broadcast announcers and radio disc jockeys	3	T	498
273022	Reporters and correspondents	4	T	503
27302X	News analysts, reporters and journalists	3	T	501
273031	Public relations specialists	4	T	506
27303X	Public relations specialists	3	T	505
273041	Editors	4	T	508
273043	Writers and authors	4	T	510
27304X	Writers and editors	3	T	507
273091	Interpreters and translators	4	T	512
27309X	Miscellaneous media and communication workers	3	T	511
273XXX	Media and communication workers	2	T	497
274011	Audio and video technicians	4	T	516
274012	Broadcast technicians	4	T	517
274013	Radio operators	4	T	518
274014	Sound engineering technicians	4	T	519
27401X	Broadcast, sound, and lighting technicians	3	T	515
274021	Photographers	4	T	522
27402X	Photographers	3	T	521
274031	Camera operators, television, video, and film	4	T	524
27403X	Television, video, and film camera operators and editors	3	T	523
27409X	Miscellaneous media and communication equipment workers	3	T	526
274XXX	Media and communication equipment workers	2	T	514
27XXXX	Arts, design, entertainment, sports, and media occupations	1	T	466
291011	Chiropractors	4	T	530
29101X	Chiropractors	3	T	529
291021	Dentists, general	4	T	532
291022	Oral and maxillofacial surgeons	4	T	533
29102X	Dentists	3	T	531
291031	Dietitians and nutritionists	4	T	537
29103X	Dietitians and nutritionists	3	T	536
291041	Optometrists	4	T	539
29104X	Optometrists	3	T	538
291051	Pharmacists	4	T	541
29105X	Pharmacists	3	T	540
291061	Anesthesiologists	4	T	543
291062	Family and general practitioners	4	T	544
291064	Obstetricians and gynecologists	4	T	546
291066	Psychiatrists	4	T	548
291067	Surgeons	4	T	549
29106X	Physicians and surgeons	3	T	542
291071	Physician assistants	4	T	551
29107X	Physician assistants	3	T	550
291081	Podiatrists	4	T	553
29108X	Podiatrists	3	T	552
291122	Occupational therapists	4	T	555
291123	Physical therapists	4	T	556
291126	Respiratory therapists	4	T	559
291127	Speech-language pathologists	4	T	560
29112X	Therapists	3	T	554
291131	Veterinarians	4	T	563
29113X	Veterinarians	3	T	562
291141	Registered nurses	4	T	565
29114X	Registered nurses	3	T	564
291151	Nurse anesthetists	4	T	567
29115X	Nurse anesthetists	3	T	566
291171	Nurse practitioners	4	T	571
29117X	Nurse practitioners	3	T	570
29119X	Miscellaneous health diagnosing and treating practitioners	3	T	574
291211	Anesthesiologists	4	T	576
291212	Cardiologists	4	T	577
291214	Emergency medicine physicians	4	T	579
291216	General internal medicine physicians	4	T	581
29121X	Physicians	3	T	575
291221	Pediatricians, general	4	T	584
291XXX	Healthcare diagnosing or treating practitioners	2	T	528
292011	Medical and clinical laboratory technologists	4	T	597
292012	Medical and clinical laboratory technicians	4	T	598
29201X	Clinical laboratory technologists and technicians	3	T	596
292032	Diagnostic medical sonographers	4	T	603
292033	Nuclear medicine technologists	4	T	604
292034	Radiologic technologists and technicians	4	T	605
29203X	Diagnostic related technologists and technicians	3	T	601
292041	Emergency medical technicians and paramedics	4	T	609
292042	Emergency medical technicians	4	T	610
292043	Paramedics	4	T	611
29204X	Emergency medical technicians and paramedics	3	T	608
292051	Dietetic technicians	4	T	613
292052	Pharmacy technicians	4	T	614
292053	Psychiatric technicians	4	T	615
292055	Surgical technologists	4	T	617
292056	Veterinary technologists and technicians	4	T	618
292057	Ophthalmic medical technicians	4	T	619
29205X	Health practitioner support technologists and technicians	3	T	612
292061	Licensed practical and licensed vocational nurses	4	T	621
29206X	Licensed practical and licensed vocational nurses	3	T	620
292081	Opticians, dispensing	4	T	626
29208X	Opticians, dispensing	3	T	625
292XXX	Health technologists and technicians	2	T	595
299011	Occupational health and safety specialists	4	T	632
299012	Occupational health and safety technicians	4	T	633
29901X	Occupational health and safety specialists and technicians	3	T	631
299091	Athletic trainers	4	T	637
29909X	Miscellaneous health practitioners and technical workers	3	T	636
299XXX	Other healthcare practitioners and technical occupations	2	T	630
29XXXX	Healthcare practitioners and technical occupations	1	T	527
311011	Home health aides	4	T	643
311013	Psychiatric aides	4	T	644
311014	Nursing assistants	4	T	645
31101X	Nursing, psychiatric, and home health aides	3	T	642
311121	Home health aides	4	T	649
311122	Personal care aides	4	T	650
31112X	Home health and personal care aides	3	T	648
311131	Nursing assistants	4	T	652
311133	Psychiatric aides	4	T	654
31113X	Nursing assistants, orderlies, and psychiatric aides	3	T	651
3111XX	Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides	3	T	647
311XXX	Nursing, psychiatric, and home health aides	2	T	641
312011	Occupational therapy assistants	4	T	657
31201X	Occupational therapy assistants and aides	3	T	656
312XXX	Occupational therapy and physical therapist assistants and aides	2	T	655
319011	Massage therapists	4	T	664
31901X	Massage therapists	3	T	663
319092	Medical assistants	4	T	667
319093	Medical equipment preparers	4	T	668
319096	Veterinary assistants and laboratory animal caretakers	4	T	671
319097	Phlebotomists	4	T	672
31909X	Miscellaneous healthcare support occupations	3	T	665
319XXX	Other healthcare support occupations	2	T	662
31XXXX	Healthcare support occupations	1	T	640
331011	First-line supervisors of correctional officers	4	T	676
331012	First-line supervisors of police and detectives	4	T	677
33101X	First-line supervisors of law enforcement workers	3	T	675
331021	First-line supervisors of firefighting and prevention workers	4	T	679
33102X	First-line supervisors of firefighting and prevention workers	3	T	678
33109X	Miscellaneous first-line supervisors, protective service workers	3	T	680
331XXX	Supervisors of protective service workers	2	T	674
332011	Firefighters	4	T	684
33201X	Firefighters	3	T	683
332022	Forest fire inspectors and prevention specialists	4	T	687
33202X	Fire inspectors	3	T	685
332XXX	Firefighting and prevention workers	2	T	682
333011	Bailiffs	4	T	690
333012	Correctional officers and jailers	4	T	691
33301X	Bailiffs, correctional officers, and jailers	3	T	689
333021	Detectives and criminal investigators	4	T	693
33302X	Detectives and criminal investigators	3	T	692
333031	Fish and game wardens	4	T	695
33303X	Fish and game wardens	3	T	694
333041	Parking enforcement workers	4	T	697
33304X	Parking enforcement workers	3	T	696
333051	Police and sheriff�s patrol officers	4	T	699
333052	Transit and railroad police	4	T	700
33305X	Police officers	3	T	698
333XXX	Law enforcement workers	2	T	688
339011	Animal control workers	4	T	703
33901X	Animal control workers	3	T	702
339021	Private detectives and investigators	4	T	705
33902X	Private detectives and investigators	3	T	704
339032	Security guards	4	T	708
33903X	Security guards and gambling surveillance officers	3	T	706
339091	Crossing guards and flaggers	4	T	710
339092	Lifeguards, ski patrol, and other recreational protective service workers	4	T	711
339093	Transportation security screeners	4	T	712
339094	School bus monitors	4	T	713
33909X	Miscellaneous protective service workers	3	T	709
339XXX	Other protective service workers	2	T	701
33XXXX	Protective service occupations	1	T	673
351011	Chefs and head cooks	4	T	717
351012	First-line supervisors of food preparation and serving workers	4	T	718
35101X	Supervisors of food preparation and serving workers	3	T	716
351XXX	Supervisors of food preparation and serving workers	2	T	715
352011	Cooks, fast food	4	T	721
352012	Cooks, institution and cafeteria	4	T	722
352014	Cooks, restaurant	4	T	724
35201X	Cooks	3	T	720
352021	Food preparation workers	4	T	727
35202X	Food preparation workers	3	T	726
352XXX	Cooks and food preparation workers	2	T	719
353011	Bartenders	4	T	730
35301X	Bartenders	3	T	729
353021	Combined food preparation and serving workers, including fast food	4	T	732
353022	Counter attendants, cafeteria, food concession, and coffee shop	4	T	733
353023	Fast food and counter workers	4	T	734
35302X	Fast food and counter workers	3	T	731
353031	Waiters and waitresses	4	T	736
35303X	Waiters and waitresses	3	T	735
353041	Food servers, nonrestaurant	4	T	738
35304X	Food servers, nonrestaurant	3	T	737
353XXX	Food and beverage serving workers	2	T	728
359011	Dining room and cafeteria attendants and bartender helpers	4	T	741
35901X	Dining room and cafeteria attendants and bartender helpers	3	T	740
359021	Dishwashers	4	T	743
35902X	Dishwashers	3	T	742
359031	Hosts and hostesses, restaurant, lounge, and coffee shop	4	T	745
35903X	Hosts and hostesses, restaurant, lounge, and coffee shop	3	T	744
35909X	Miscellaneous food preparation and serving related workers	3	T	746
359XXX	Other food preparation and serving related workers	2	T	739
35XXXX	Food preparation and serving related occupations	1	T	714
371011	First-line supervisors of housekeeping and janitorial workers	4	T	750
371012	First-line supervisors of landscaping, lawn service, and groundskeeping workers	4	T	751
37101X	First-line supervisors of building and grounds cleaning and maintenance workers	3	T	749
371XXX	Supervisors of building and grounds cleaning and maintenance workers	2	T	748
372011	Janitors and cleaners, except maids and housekeeping cleaners	4	T	754
372012	Maids and housekeeping cleaners	4	T	755
37201X	Building cleaning workers	3	T	753
372021	Pest control workers	4	T	757
37202X	Pest control workers	3	T	756
372XXX	Building cleaning and pest control workers	2	T	752
373011	Landscaping and groundskeeping workers	4	T	760
373012	Pesticide handlers, sprayers, and applicators, vegetation	4	T	761
373013	Tree trimmers and pruners	4	T	762
37301X	Grounds maintenance workers	3	T	759
373XXX	Grounds maintenance workers	2	T	758
37XXXX	Building and grounds cleaning and maintenance occupations	1	T	747
391014	First-line supervisors of entertainment and recreation workers, except gambling services	4	T	769
39101X	First-line supervisors of entertainment and recreation workers	3	T	765
391021	First-line supervisors of personal service workers	4	T	771
391022	First-line supervisors of personal service workers	4	T	772
39102X	First-line supervisors of personal service workers	3	T	770
391XXX	Supervisors of personal care and service workers	2	T	764
392011	Animal trainers	4	T	775
39201X	Animal trainers	3	T	774
392021	Animal caretakers	4	T	777
39202X	Animal caretakers	3	T	776
392XXX	Animal care and service workers	2	T	773
393012	Gambling and sports book writers and runners	4	T	781
39301X	Gambling services workers	3	T	779
393031	Ushers, lobby attendants, and ticket takers	4	T	785
39303X	Ushers, lobby attendants, and ticket takers	3	T	784
393091	Amusement and recreation attendants	4	T	787
39309X	Miscellaneous entertainment attendants and related workers	3	T	786
393XXX	Entertainment attendants and related workers	2	T	778
394021	Funeral attendants	4	T	795
39402X	Funeral attendants	3	T	794
394031	Morticians, undertakers, and funeral arrangers	4	T	797
39403X	Morticians, undertakers, and funeral arrangers	3	T	796
394XXX	Funeral service workers	2	T	790
395011	Barbers	4	T	800
395012	Hairdressers, hairstylists, and cosmetologists	4	T	801
39501X	Barbers, hairdressers, hairstylists and cosmetologists	3	T	799
395092	Manicurists and pedicurists	4	T	804
39509X	Miscellaneous personal appearance workers	3	T	802
395XXX	Personal appearance workers	2	T	798
397011	Tour guides and escorts	4	T	813
397012	Travel guides	4	T	814
39701X	Tour and travel guides	3	T	812
397XXX	Tour and travel guides	2	T	811
399011	Childcare workers	4	T	817
39901X	Childcare workers	3	T	816
399021	Personal care aides	4	T	819
39902X	Personal care aides	3	T	818
399031	Exercise trainers and group fitness instructors	4	T	821
399032	Recreation workers	4	T	822
39903X	Recreation and fitness workers	3	T	820
399041	Residential advisors	4	T	824
39904X	Residential advisors	3	T	823
39909X	Miscellaneous personal care and service workers	3	T	825
399XXX	Other personal care and service workers	2	T	815
39XXXX	Personal care and service occupations	1	T	763
411011	First-line supervisors of retail sales workers	4	T	829
411012	First-line supervisors of non-retail sales workers	4	T	830
41101X	First-line supervisors of sales workers	3	T	828
411XXX	Supervisors of sales workers	2	T	827
412011	Cashiers	4	T	833
412012	Gambling change persons and booth cashiers	4	T	834
41201X	Cashiers	3	T	832
412021	Counter and rental clerks	4	T	836
412022	Parts salespersons	4	T	837
41202X	Counter and rental clerks and parts salespersons	3	T	835
412031	Retail salespersons	4	T	839
41203X	Retail salespersons	3	T	838
412XXX	Retail sales workers	2	T	831
413011	Advertising sales agents	4	T	842
41301X	Advertising sales agents	3	T	841
413021	Insurance sales agents	4	T	844
41302X	Insurance sales agents	3	T	843
413031	Securities, commodities, and financial services sales agents	4	T	846
41303X	Securities, commodities, and financial services sales agents	3	T	845
413041	Travel agents	4	T	848
41304X	Travel agents	3	T	847
413091	Sales representatives of services, except advertising, insurance, financial services, and travel	4	T	850
41309X	Miscellaneous sales representatives, services	3	T	849
413XXX	Sales representatives, services	2	T	840
414011	Sales representatives, wholesale and manufacturing, technical and scientific products	4	T	853
414012	Sales representatives, wholesale and manufacturing, except technical and scientific products	4	T	854
41401X	Sales representatives, wholesale and manufacturing	3	T	852
414XXX	Sales representatives, wholesale and manufacturing	2	T	851
419011	Demonstrators and product promoters	4	T	857
419012	Models	4	T	858
41901X	Models, demonstrators, and product promoters	3	T	856
419021	Real estate brokers	4	T	860
419022	Real estate sales agents	4	T	861
41902X	Real estate brokers and sales agents	3	T	859
419031	Sales engineers	4	T	863
41903X	Sales engineers	3	T	862
419041	Telemarketers	4	T	865
41904X	Telemarketers	3	T	864
419091	Door-to-door sales workers, news and street vendors, and related workers	4	T	867
41909X	Miscellaneous sales and related workers	3	T	866
419XXX	Other sales and related workers	2	T	855
41XXXX	Sales and related occupations	1	T	826
431011	First-line supervisors of office and administrative support workers	4	T	871
43101X	First-line supervisors of office and administrative support workers	3	T	870
431XXX	Supervisors of office and administrative support workers	2	T	869
433011	Bill and account collectors	4	T	880
43301X	Bill and account collectors	3	T	879
433021	Billing and posting clerks	4	T	882
43302X	Billing and posting clerks	3	T	881
433031	Bookkeeping, accounting, and auditing clerks	4	T	884
43303X	Bookkeeping, accounting, and auditing clerks	3	T	883
433061	Procurement clerks	4	T	890
43306X	Procurement clerks	3	T	889
433071	Tellers	4	T	892
43307X	Tellers	3	T	891
43309X	Miscellaneous financial clerks	3	T	893
433XXX	Financial clerks	2	T	878
434031	Court, municipal, and license clerks	4	T	900
43403X	Court, municipal, and license clerks	3	T	899
434051	Customer service representatives	4	T	904
43405X	Customer service representatives	3	T	903
434061	Eligibility interviewers, government programs	4	T	906
43406X	Eligibility interviewers, government programs	3	T	905
434071	File clerks	4	T	908
43407X	File clerks	3	T	907
434081	Hotel, motel, and resort desk clerks	4	T	910
43408X	Hotel, motel, and resort desk clerks	3	T	909
434111	Interviewers, except eligibility and loan	4	T	912
43411X	Interviewers, except eligibility and loan	3	T	911
434121	Library assistants, clerical	4	T	914
43412X	Library assistants, clerical	3	T	913
434141	New accounts clerks	4	T	918
43414X	New accounts clerks	3	T	917
434171	Receptionists and information clerks	4	T	924
43417X	Receptionists and information clerks	3	T	923
43419X	Miscellaneous information and record clerks	3	T	927
